timestamp,tempA,otemp,lumA,rso1A,rso2A,rso3A,rso4A,hour,minute,second
2025-04-02T16:25:50.526598,14.807,17.26,0.0,,,,,8.0,21.0,25.0
2025-04-02T16:25:53.075556,16.94,18.0,0.0,,,,,11.0,53.0,5.0
2025-04-02T16:25:55.631949,18.26,17.65,0.0,,,,,15.0,26.0,25.0
2025-04-02T16:25:58.174356,17.821,13.53,0.0,,,,,18.0,58.0,5.0
2025-04-02T16:26:00.721835,15.861,10.61,0.0,,,,,22.0,31.0,25.0
2025-04-02T16:26:03.262855,13.921,10.81,0.049,,,,,2.0,1.0,25.0
2025-04-02T16:26:05.817460,13.625,13.98,0.682,,,,,5.0,34.0,45.0
2025-04-02T16:26:08.371368,15.298,18.0,10.0,,,,,9.0,8.0,5.0
2025-04-02T16:26:10.938330,17.292,18.0,10.0,,,,,12.0,41.0,25.0
2025-04-02T16:26:13.481090,18.353,16.73,10.0,,,,,16.0,13.0,5.0
2025-04-02T16:26:16.027316,17.468,12.71,10.0,,,,,19.0,44.0,45.0
2025-04-02T16:26:18.575602,15.331,10.33,1.278,,,,,23.0,19.0,45.0
2025-04-02T16:26:21.119208,13.65,11.33,2.023,,,,,2.0,49.0,45.0
2025-04-02T16:26:23.657132,13.833,14.86,10.0,,,,,6.0,21.0,25.0
2025-04-02T16:26:26.194102,15.785,18.0,10.0,,,,,9.0,53.0,5.0
2025-04-02T16:26:28.745265,17.586,18.0,10.0,,,,,13.0,24.0,45.0
2025-04-02T16:26:31.299378,18.316,15.83,10.0,,,,,16.0,58.0,5.0
2025-04-02T16:26:33.847956,17.087,11.96,7.263,,,,,20.0,31.0,25.0
2025-04-02T16:26:36.391884,14.877,10.23,1.278,,,,,0.0,3.0,5.0
2025-04-02T16:26:38.941087,13.487,11.92,6.745,,,,,3.0,34.0,45.0
2025-04-02T16:26:41.499877,14.139,15.77,10.0,,,,,7.0,8.0,5.0
2025-04-02T16:26:44.042275,16.241,18.0,10.0,,,,,10.0,41.0,25.0
2025-04-02T16:26:46.587125,17.873,18.0,10.0,,,,,14.0,13.0,5.0
2025-04-02T16:26:49.152750,18.177,14.87,10.0,,,,,17.0,46.0,25.0
2025-04-02T16:26:51.706176,16.666,11.32,2.124,,,,,21.0,18.0,5.0
2025-04-02T16:26:54.248084,14.416,10.31,1.278,,,,,0.0,51.0,25.0
2025-04-02T16:26:56.800787,13.401,12.69,10.0,,,,,4.0,24.0,45.0
2025-04-02T16:26:59.346924,14.515,16.72,10.0,,,,,7.0,56.0,25.0
2025-04-02T16:27:01.893685,16.674,18.0,10.0,,,,,11.0,28.0,5.0
2025-04-02T16:27:04.440062,18.116,18.0,10.0,,,,,14.0,59.0,45.0
2025-04-02T16:27:06.982899,17.939,13.96,10.0,,,,,18.0,33.0,5.0
2025-04-02T16:27:09.510813,16.146,10.81,1.278,,,,,22.0,3.0,5.0
2025-04-02T16:27:12.048351,14.053,10.54,1.278,,,,,1.0,34.0,45.0
2025-04-02T16:27:14.599735,13.471,13.41,10.0,,,,,5.0,6.0,25.0
2025-04-02T16:27:17.145207,14.929,17.56,10.0,,,,,8.0,39.0,45.0
2025-04-02T16:27:19.701541,17.023,18.0,10.0,,,,,12.0,13.0,5.0
2025-04-02T16:27:22.261395,18.273,17.23,10.0,,,,,15.0,46.0,25.0
2025-04-02T16:27:24.824256,17.637,13.11,10.0,,,,,19.0,19.0,45.0
2025-04-02T16:27:27.374467,15.576,10.42,1.278,,,,,22.0,51.0,25.0
2025-04-02T16:27:29.928488,13.734,10.98,1.278,,,,,2.0,24.0,45.0
2025-04-02T16:27:32.452284,13.641,14.29,10.0,,,,,5.0,54.0,45.0
2025-04-02T16:27:35.008206,15.45,18.0,10.0,,,,,9.0,28.0,5.0
2025-04-02T16:27:37.547974,17.373,18.0,10.0,,,,,12.0,59.0,45.0
2025-04-02T16:27:40.106055,18.318,16.33,10.0,,,,,16.0,31.0,25.0
2025-04-02T16:27:42.650848,17.358,12.56,10.0,,,,,19.0,51.0,25.0
2025-04-02T16:27:45.190446,15.194,10.24,1.278,,,,,23.0,24.0,45.0
